"","Cluster","group","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"1","AM14 MRLlpr","AM14 MRLlpr","GO:0003924","GTPase activity","19/267","308/28409",0.0616883116883117,6.56368257210954,9.56258471803342,1.28701203268132e-10,6.94986497647915e-08,5.54092548807012e-08,"67951/67844/24050/14696/55932/14469/76074/229900/620913/60440/11852/100503545/381812/225594/54396/240327/21822/100702/626578",19
"2","AM14 MRLlpr","AM14 MRLlpr","GO:0140375","immune receptor activity","13/267","141/28409",0.0921985815602837,9.80999814062209,10.2149515886409,9.04907611905384e-10,2.44325055214454e-07,1.94793270141738e-07,"14586/64095/12902/27007/14762/12771/59289/12767/14127/246256/12982/23832/232801",13
"3","AM14 MRLlpr","AM14 MRLlpr","GO:0005525","GTP binding","17/267","364/28409",0.0467032967032967,4.96926575297362,7.42389169889548,7.6127934052025e-08,1.37030281293645e-05,1.09250263253608e-05,"67951/67844/24050/55932/14469/76074/229900/80885/74558/60440/11852/100503545/381812/54396/21822/100702/626578",17
"4","AM14 MRLlpr","AM14 MRLlpr","GO:0019001","guanyl nucleotide binding","17/267","389/28409",0.0437017994858612,4.64990420072596,7.06025979209091,1.95864896040545e-07,2.11534087723789e-05,1.68649984169648e-05,"67951/67844/24050/55932/14469/76074/229900/80885/74558/60440/11852/100503545/381812/54396/21822/100702/626578",17
"5","AM14 MRLlpr","AM14 MRLlpr","GO:0032561","guanyl ribonucleotide binding","17/267","389/28409",0.0437017994858612,4.64990420072596,7.06025979209091,1.95864896040545e-07,2.11534087723789e-05,1.68649984169648e-05,"67951/67844/24050/55932/14469/76074/229900/80885/74558/60440/11852/100503545/381812/54396/21822/100702/626578",17
"6","AM14 MRLlpr","AM14 MRLlpr","GO:0019955","cytokine binding","10/267","146/28409",0.0684931506849315,7.28772253860756,7.41923536586781,1.31069502357876e-06,0.000117962552122089,9.40481166041604e-05,"11482/12491/21934/14469/12771/59289/22695/12767/23832/16068",10
"7","AM14 MRLlpr","AM14 MRLlpr","GO:0061134","peptidase regulator activity","13/267","279/28409",0.046594982078853,4.95774099579826,6.4708761256632,2.7268564411203e-06,0.000163777998788138,0.000130575441528944,"20568/20716/14268/20732/13010/14469/20715/20708/20723/212937/238393/100034251/12268",13
"8","AM14 MRLlpr","AM14 MRLlpr","GO:0001637","G protein-coupled chemoattractant receptor activity","5/267","25/28409",0.2,21.2801498127341,9.88104427108463,3.21744561610798e-06,0.000163777998788138,0.000130575441528944,"64095/12771/59289/12767/23832",5
"9","AM14 MRLlpr","AM14 MRLlpr","GO:0004950","chemokine receptor activity","5/267","25/28409",0.2,21.2801498127341,9.88104427108463,3.21744561610798e-06,0.000163777998788138,0.000130575441528944,"64095/12771/59289/12767/23832",5
"10","AM14 MRLlpr","AM14 MRLlpr","GO:0019957","C-C chemokine binding","5/267","25/28409",0.2,21.2801498127341,9.88104427108463,3.21744561610798e-06,0.000163777998788138,0.000130575441528944,"12771/59289/22695/12767/23832",5
