Gene	Direction_in_ABCs
Sirpb1a	up
Ccl6	up
Sirpb1b	up
Cttn	up
Lst1	up
AF251705	up
Cd300a	up
Vstm4	up
Pid1	up
Hpgd	up
RP24-247B20.1	up
Dysf	up
1700025G04Rik	up
Pilrb2	up
Scamp5	up
Coa5	up
Gfra2	up
Apobr	up
Nod2	up
Scamp1	up
Epb4.1l3	up
Cmklr1	up
Matn2	up
Rnd3	up
Gm5150	up
AW112010	up
Vnn3	up
Pilra	up
Fmnl2	up
Gm13994	up
Cxcl9	up
D430019H16Rik	up
Gab2	up
Mut	up
Ptgs1	up
Asb2	up
Spata13	up
Gdpd1	up
Trerf1	up
Mras	up
Dapk2	up
Lcp2	up
4632428N05Rik	up
Tmcc3	up
Cd86	up
Sirpa	up
Pqlc3	up
Adam23	up
Psap	up
Galnt7	up
Tmem66	up
Pilrb1	up
Cenph	up
Acer3	up
Hk3	up
Eif5a2	up
Sash1	up
Ctsd	up
Nav1_1	up
Parm1	up
Gm1965	up
Rnf149	up
Spic	up
Gas6	up
Gm14698	up
Anpep	up
Itm2c	up
C6	up
Cd163	up
Slpi	up
Ccr3	up
Mtdh	up
Rp2h	up
Marveld1	up
Lipa	up
Zfp367	up
Fgl2	up
Gpr157	up
Anxa2	up
Tcf4	up
Megf10	up
Cd200r4	up
Jup	up
Gpr55	up
Galc	up
Sh2d1b2	up
Tbx21	up
mt-Atp8	up
Axl	up
Smco4	up
Ighv1-64	up
Cd68	up
Npc1	up
Igj	up
Tjp2	up
Adap2	up
Fas	up
Gpr141	up
Cd38	up
Apoe	up
F11r	up
Pira2	up
Hs3st2	up
Mreg	up
Rims3	up
Igkv4-70	up
Cd164	up
Rap1gap2	up
Fnip1	up
Rtn4	up
Lamp2	up
Ermp1	up
Ighv3-6	up
Kif18a	up
Tmed10	up
Pon3	up
Fcrl5	up
Cdc42bpb	up
Agrn	up
Ighv1-80	up
Il18	up
Vps35	up
Ppap2a	up
Mcfd2	up
Ctsb	up
Aatk	up
Marcks	up
Enpp2	up
Itgb1	up
Glg1	up
Aplp2	up
Arhgap19	up
Adam10	up
Kif1b	up
S1pr3	up
Id2	up
Tfec	up
Iqgap2	up
Vwa5a	up
Tlr3	up
Plin2	up
Lilrb4	up
Lpcat2	up
Snx18	up
Grn	up
BC064078	up
Chm	up
Fundc1	up
Glipr1	up
Rin2	up
Cd302	up
Cd28	up
Tmem181a	up
Gsto1	up
Rrm1	up
Emr1	up
Ppap2b	up
Lphn2	up
Cdc42ep4	up
Tspan4	up
Spn	up
Melk	up
Lgmn	up
Dclre1a	up
Lair1	up
Cdca8	up
Dpy19l1	up
Creg1	up
Jdp2	up
Nek6	up
Pkp4	up
Cdc42ep2	up
Azin1	up
Hfe	up
Asah1	up
Clic4	up
Eogt	up
Frmd4b	up
Capn2	up
Cadm1	up
Stk3	up
Dstn	up
Wdr7	up
Myo1f	up
Nid1	up
Hmox1	up
Smox	up
Csf1r	up
Tmem30a	up
Tmem154	up
Cd44	up
Extl2	up
Sh3d19	up
Tbkbp1	up
Ighv1-81	up
Enc1	up
Erap1	up
Ninj1	up
Fblim1	up
Gltp	up
Oxct1	up
Nek7	up
Pogk	up
Glul	up
Zfp808	up
Efnb1	up
Entpd1	up
Clasp2	up
Lag3	up
Stard8	up
Slamf8	up
Itga2	up
Cd80	up
Rhoq	up
Chn2	up
Tmx3	up
Snx10	up
Spire1	up
Ptgis	up
Gpr160	up
Ighv7-3	up
Angptl4	up
Tyrobp	up
Lmbrd2	up
Asph	up
Cpq	up
Fcho2	up
Sox5	up
Ubd	up
Tspan15	up
Ackr2	up
Gzma	up
Tlr4	up
Cxcr3	up
Sort1	up
1190002N15Rik	up
Nrp2	up
Txndc5	up
Vcam1	up
Cfp	up
Tmem168	up
Ccnb2	up
Hsd17b12	up
Cmpk1	up
Tmbim1	up
Ifi204	up
Ccdc88a	up
App	up
Sgpp1	up
Sdc3	up
Cmtm4	up
Itm2b	up
Zfp281	up
Diap2	up
Plek	up
Mfhas1	up
Mospd2	up
Rassf4	up
Ass1	up
Sspn	up
Ahcyl1	up
Tspan31	up
Spag5	up
Prdx4	up
Ece1	up
Stom	up
Lonrf1	up
Pcolce2	up
Tmem106b	up
Abhd4	up
Camk1	up
Cmtm3	up
Tppp	up
Epor	up
Gtse1	up
Tmem65	up
Ralb	up
Acacb	up
Ighv2-6	up
Atxn1	up
Osbpl3	up
Ifih1	up
Fzd7	up
Ighv1-9	up
Kdelc2	up
Rb1	up
Gns	up
Fah	up
Amz1	up
Cdkn3	up
Kctd17	up
Chst1	up
S100a1	up
Zbtb38	up
Nptxr	up
Gatm	up
Cd200r1	up
Hk2	up
Dnajb14	up
Sgpl1	up
Trabd2b	up
Cd36	up
Ftl1	up
Emr4	up
E2f8	up
Dram2	up
Apoc1	up
Ctsl	up
Vwf	up
Sowahc	up
Ids	up
Atf6	up
Sh3bgrl	up
Fut4	up
Ighv14-3	up
Zfp518b	up
Ahcyl2	up
Ptgr1	up
Tcf19	up
Crip2	up
Klhl7	up
Ccnb1	up
Stx11	up
Hnrnph2	up
Ighv2-2	up
Fignl1	up
Cd14	up
Rragd	up
Brip1	up
Lypla1	up
Cdk14	up
Plbd1	up
Mdfic	up
Sesn2	up
Acot11	up
Dnm3	up
Arhgef12	up
Mtpn	up
Treml4	up
Homer1	up
Abr	up
Zfp800	up
Tmem18	up
Mag	up
Mad2l1	up
Timp2	up
Suz12	up
Ints2	up
Rbm47	up
Mgst1	up
Gdpd5	up
Mfsd1	up
Gbp8	up
Wdfy2	up
Cd4	up
Kif15	up
Lap3	up
Igf1	up
Dhdh	up
Hid1	up
Epb4.1l1	up
Ighv1-20	up
Aif1	up
AI607873	up
Rab11fip5	up
Cxcl10	up
Myo9a	up
Kif11	up
Abhd5	up
Acot1	up
Asf1b	up
Ahr	up
Ccnd2	up
Ighv1-69	up
Cxx1b	up
Ighv2-3	up
Itgb2	up
Ergic1	up
Reep3	up
Fut8	up
Rcbtb2	up
Taf9b	up
Mitf	up
Rbl2	up
Tenm4	up
Nlrx1	up
Dmpk	up
Diap3	up
4931406C07Rik	up
Fktn	up
Adssl1	up
Hsd11b1	up
Paqr9	up
Ighv1-72	up
Atp13a3	up
Ly96	up
Mef2a	up
Arl4d	up
Zbtb32	up
Cyfip1	up
I830077J02Rik	up
Ube2j1	up
Ly75	up
Ctsc	up
Fpr1	up
C4b	up
Cd5l	up
Igkv12-44	up
Pbrm1	up
Dram1	up
Erlin2	up
Havcr1	up
Igkv8-30	up
C330007P06Rik	up
Gm13157	up
Ttk	up
Zc3h12c	up
Ighm	up
Tmed5	up
Pak1	up
Ppt1	up
Ccna2	up
Ptk2	up
Hipk3	up
Vma21	up
Ticam2	up
Isoc1	up
Pls3	up
Stau2	up
Maf	up
G3bp2	up
Zfp26	up
Gpd1	up
Ggt5	up
Ulbp1	up
Nipa2	up
Ttc39b	up
Chst11	up
