Gene	Direction_in_ABCs
0610010K14Rik	down
0610011F06Rik	down
1110001J03Rik	down
1110038F14Rik	down
1110054M08Rik	down
1190002N15Rik	up
1500012F01Rik	down
1700025G04Rik	up
1700026L06Rik	up
1700030K09Rik	down
1700037H04Rik	down
1810011H11Rik	up
2210018M11Rik	down
2310001H17Rik	down
2310003H01Rik	down
2310011J03Rik	down
2310015A10Rik	down
2310033P09Rik	down
2310047M10Rik	down
2310061I04Rik	down
2510009E07Rik	up
2700089E24Rik	up
2810408M09Rik	down
2810417H13Rik	up
4632428N05Rik	up
4930506M07Rik	up
4930523C07Rik	down
4931406C07Rik	up
5031414D18Rik	down
5730409E04Rik	up
5830415F09Rik	down
5830418K08Rik	down
5830428H23Rik	down
8430419L09Rik	up
9430015G10Rik	down
9930104L06Rik	down
A230050P20Rik	down
A530032D15Rik	up
A630001G21Rik	down
A630033H20Rik	up
A930005H10Rik	down
AA474331	up
Aaas	down
Aatk	up
Abca1	down
Abca2	down
Abca3	down
Abca7	down
Abca9	down
Abcb10	down
Abcb1a	down
Abcb1b	down
Abcb4	down
Abcb7	down
Abcb8	down
Abcc1	down
Abcc10	down
Abcc3	down
Abcc4	down
Abcc5	down
Abcd1	down
Abcd2	down
Abcd3	down
Abcd4	down
Abce1	down
Abcf1	down
Abcf2	down
Abcf3	down
Abcg1	down
Abcg3	down
Abhd11	down
Abhd17a	down
Abhd4	up
Abhd5	up
Abr	up
Abt1	down
Abtb1	down
Acacb	up
Accs	down
Acd	down
Acer3	up
Acin1	down
Ackr2	up
Acot1	up
Acot11	up
Acot8	down
Actg1	down
Actr5	down
Ada	up
Adam10	up
Adam22	up
Adam23	up
Adap2	up
Adcy3	up
Adk	up
Adora2a	up
Adprhl2	down
Adrm1	down
Adssl1	up
Aes	down
AF251705	up
Agl	down
Agpat9	down
Agrn	up
Ahcyl1	up
Ahcyl2	up
Ahdc1	down
Ahr	up
AI413582	down
AI462493	down
AI606181	down
AI607873	up
AI837181	down
AI846148	down
Aif1	up
Aip	down
Ak8	up
Akap1	up
Akap12	down
Akap8l	down
Akap9	down
Akna	down
Akt3	down
Alad	down
Alg6	down
Alkbh6	down
Alkbh7	down
Alox5ap	up
Als2	up
Alyref2	down
Ammecr1	down
Amz1	up
Angel1	down
Angptl4	up
Ankra2	down
Ankrd11	down
Ankrd16	down
Ankrd54	down
Anks3	down
Ankzf1	down
Anpep	up
Anxa2	up
Anxa3	up
Anxa5	up
Aoah	up
Apaf1	up
Apba3	down
Apbb1ip	down
Aplp2	up
Apobr	up
Apoc1	up
Apoc2	up
Apoe	up
App	up
Appl1	down
Appl2	down
Arfgap1	down
Arfip1	up
Arglu1	down
Arhgap11a	up
Arhgap17	down
Arhgap19	up
Arhgap4	down
Arhgap5	up
Arhgap9	down
Arhgef1	down
Arhgef12	up
Arhgef18	down
Arid1a	down
Arid1b	down
Arih2	down
Arl2	down
Arl4c	up
Arl4d	up
Arl5a	up
Armc3	down
Armc6	down
Arrdc1	down
Arsb	up
Arsg	up
Art3	up
Asah1	up
Asb2	up
Asb6	down
Asf1b	up
Ash1l	down
Ash2l	down
Asna1	down
Asns	up
Asph	up
Ass1	up
Atf4	down
Atf6	up
Atg16l1	down
Atg16l2	down
Atg2a	down
Atl3	up
Atn1	down
Atp10d	down
Atp11a	down
Atp11b	down
Atp11c	down
Atp13a1	down
Atp13a3	up
Atp1a1	down
Atp1b1	down
Atp1b3	down
Atp2a3	down
Atp2b1	down
Atp5b	down
Atp5sl	down
Atp6ap1	down
Atp6ap2	down
Atp6v0a1	down
Atp6v0a2	down
Atp6v0b	down
Atp6v0c	down
Atp6v0d1	down
Atp6v0e	down
Atp6v1a	down
Atp6v1b2	down
Atp6v1c1	down
Atp6v1d	down
Atp6v1e1	down
Atp6v1f	down
Atp6v1g1	down
Atp6v1h	down
Atp7a	down
Atp9b	down
Atrip	down
Atrnl1	up
Atxn1	up
Atxn2l	down
Atxn7l2	down
Aurkb	up
AW112010	up
Axl	up
Azin1	up
B3galnt2	down
B3galt4	down
B3galt6	down
B430306N03Rik	up
B4galt1	down
B4galt3	down
B4galt5	down
B4galt6	down
B4galt7	down
B630005N14Rik	up
B9d2	down
Bag3	up
Banp	down
Bbs9	down
BC029214	down
BC030867	up
BC037034_1	down
BC064078	up
BC094916	down
Bcap29	up
Bcdin3d	down
Bcl11a	down
Bcl2a1a	up
Bcl2l12	down
Bcl2l14	up
Bcl3	down
Bcl6	down
Bcl7c	down
Bcr	down
Bend5	down
Bet1l	down
Bicd1	up
Bin1	down
Birc5	up
Bloc1s4	down
Bloc1s5	down
Bloc1s6	down
Blvra	up
Bmf	down
Bnip1	down
Bod1	down
Bola2	down
Bptf	down
Brd2	down
Brd3	down
Brip1	up
Brms1	down
Brwd1	down
Brwd3	up
Btbd2	down
Btnl5-ps	up
Btnl6	up
Bud13	down
C130026I21Rik	up
C1galt1	down
C1qa	down
C1qb	down
C1qc	down
C3	up
C330007P06Rik	up
C4b	up
C5ar2	up
C6	up
C87436	down
Cabin1	down
Cables2	down
Cacna1i	down
Cacna2d4	down
Cad	down
Cadm1	up
Calcrl	up
Camk1	up
Camk2a	up
Camkmt	up
Capn10	down
Capn2	up
Car13	up
Casc5	up
Casp3	up
Casp9	up
Cbx3	up
Cbx7	down
Cc2d1a	down
Cc2d1b	down
Ccdc101	down
Ccdc124	down
Ccdc130	down
Ccdc134	down
Ccdc137	down
Ccdc148	up
Ccdc163	down
Ccdc61	down
Ccdc69	down
Ccdc71	down
Ccdc77	down
Ccdc88a	up
Ccdc88c	down
Ccdc9	down
Ccdc94	down
Ccl5	up
Ccl6	up
Ccm2	down
Ccna2	up
Ccnb1	up
Ccnb2	up
Ccnd1	up
Ccnd2	up
Ccnf	up
Ccng1	up
Ccnj	down
Ccnl1	down
Ccnl2	down
Ccpg1	up
Ccr1	up
Ccr3	up
Ccr6	up
Ccr7	down
Cd14	up
Cd163	up
Cd164	up
Cd200	down
Cd200r1	up
Cd200r4	up
Cd244	up
Cd28	up
Cd300a	up
Cd300e	up
Cd300lb	up
Cd300ld	up
Cd300lf	up
Cd302	up
Cd36	up
Cd37	down
Cd38	up
Cd4	up
Cd40	down
Cd44	up
Cd5l	up
Cd63	up
Cd68	up
Cd79b	down
Cd80	up
Cd86	up
Cd9	up
Cdc14b	up
Cdc20	up
Cdc42bpb	up
Cdc42ep2	up
Cdc42ep4	up
Cdc6	up
Cdca2	up
Cdca3	up
Cdca5	up
Cdca7l	up
Cdca8	up
Cdh17	up
Cdk1	up
Cdk10	down
Cdk11b	down
Cdk14	up
Cdk16	down
Cdkal1	down
Cdkn3	up
Cdt1	down
Cebpzos	down
Cenph	up
Cenpi	up
Cenpj	down
Cenpk	up
Cenpp	up
Cep250	down
Cep55	up
Cep85	down
Cep89	down
Cep95	down
Cers6	up
Cfp	up
Chchd10	down
Chchd5	down
Chchd7	down
Chd2	down
Chd3	down
Chd6	down
Chd7	down
Chek1	up
Cherp	down
Chkb	down
Chm	up
Chn2	up
Chpt1	up
Chrac1	down
Chrnb1	down
Chst1	up
Chst11	up
Chst7	up
Ciapin1	down
Cited2	down
Ciz1	down
Ckap2	up
Cks1b	up
Clasp2	up
Clasrp	down
Clcf1	down
Clec7a_1	up
Clic4	up
Clk2	down
Clk3	down
Clns1a	down
Clpp	down
Clstn1	up
Cluap1	down
Cmbl	up
Cmklr1	up
Cmpk1	up
Cmtm3	up
Cmtm4	up
Cmtm7	down
Cnksr3	up
Cnnm2	up
Cntrl	down
Coa5	up
Cog1	down
Cog8	down
