Sample,Label_Name,Mouse_Number,Experiment,Cohort,Treatment,Stimulation,Drug,heatmap_col1,barplot_info
AM14_P1,PL2-3_M1,1,AM14_Transfer,A1,PL23,PL23,Control,AM14 Transfer + PL2-3 Stimulation,PL2-3_Control_M1
AM14_P2,PL2-3_M2,2,AM14_Transfer,A1,PL23,PL23,Control,AM14 Transfer + PL2-3 Stimulation,PL2-3_Control_M2
AM14_P3,PL2-3_M3,3,AM14_Transfer,A1,PL23,PL23,Control,AM14 Transfer + PL2-3 Stimulation,PL2-3_Control_M3
AM14_P4,PL2-3_M4,4,AM14_Transfer,A2,PL23,PL23,Control,AM14 Transfer + PL2-3 Stimulation,PL2-3_Control_M4
AM14_P5,PL2-3_M5,5,AM14_Transfer,A2,PL23,PL23,Control,AM14 Transfer + PL2-3 Stimulation,PL2-3_Control_M5
AM14_P2_1,PL2-3+2DG_M1,1,AM14_Transfer,A1,PL23_2DG,PL23,2DG,AM14 Transfer + PL2-3 Stimulation,PL2-3_2DG_M1
AM14_P2_2,PL2-3+2DG_M2,2,AM14_Transfer,A1,PL23_2DG,PL23,2DG,AM14 Transfer + PL2-3 Stimulation,PL2-3_2DG_M2
AM14_P2_3,PL2-3+2DG_M3,3,AM14_Transfer,A1,PL23_2DG,PL23,2DG,AM14 Transfer + PL2-3 Stimulation,PL2-3_2DG_M3
AM14_P2_4,PL2-3+2DG_M4,4,AM14_Transfer,A2,PL23_2DG,PL23,2DG,AM14 Transfer + PL2-3 Stimulation,PL2-3_2DG_M4
AM14_P2_5,PL2-3+2DG_M5,5,AM14_Transfer,A2,PL23_2DG,PL23,2DG,AM14 Transfer + PL2-3 Stimulation,PL2-3_2DG_M5
AM14_R_1,R848_M1,1,AM14_Transfer,A1,R848,R848,Control,AM14 Transfer + R848 Stimulation,R848_Control_M1
AM14_R_2,R848_M2,2,AM14_Transfer,A1,R848,R848,Control,AM14 Transfer + R848 Stimulation,R848_Control_M2
