Sample,Cohort,Treatment
AM14_P1,A1,PL23
AM14_P2,A1,PL23
AM14_P3,A1,PL23
AM14_P4,A2,PL23
AM14_P5,A2,PL23
AM14_P2_1,A1,PL23_2DG
AM14_P2_2,A1,PL23_2DG
AM14_P2_3,A1,PL23_2DG
AM14_P2_4,A2,PL23_2DG
AM14_P2_5,A2,PL23_2DG
AM14_R_1,A1,R848
AM14_R_2,A1,R848
AM14_R_3,A2,R848
AM14_R_4,A2,R848
AM14_R_5,A2,R848
AM14_R2_1,A1,R848_2DG
AM14_R2_2,A1,R848_2DG
AM14_R2_3,A2,R848_2DG
AM14_R2_4,A2,R848_2DG
AM14_R2_5,A2,R848_2DG
B18_2DG_M1,B1,NP_2DG
B18_2DG_M2,B1,NP_2DG
B18_2DG_M3,B1,NP_2DG
B18_2DG_M4,B1,NP_2DG
B18_2DG_M5,B1,NP_2DG
B18_Ctrl_M6,B1,NP
B18_Ctrl_M7,B1,NP
B18_Ctrl_M8,B1,NP
B18_Ctrl_M9,B1,NP
MRL_C1,M1,Control
MRL_C2,M1,Control
MRL_C3,M2,Control
MRL_C4,M2,Control
MRL_C5,M2,Control
MRL_C6,M2,Control
MRL_C7,M2,Control
MRL_C8,M2,Control
MRL_2DG_1,M1,2DG
MRL_2DG_2,M1,2DG
MRL_2DG_3,M2,2DG
MRL_2DG_4,M2,2DG
MRL_2DG_5,M2,2DG
MRL_2DG_6,M2,2DG
MRL_2DG_7,M2,2DG
MRL_2DG_8,M2,2DG
MRL_2DG_9,M2,2DG
