ensembl_gene_id	external_gene_name	description	entrezgene	hsapiens_homolog_ensembl_gene	hsapiens_homolog_perc_id	hgnc_symbol	Human_description	Human_entrez_geneid	ensembl_peptide_ids	ensembl_transcript_ids	MRL_C1	MRL_C2	MRL_C3	MRL_C4	MRL_C5	MRL_C6	MRL_C7	MRL_C8	MRL_2DG_1	MRL_2DG_2	MRL_2DG_3	MRL_2DG_4	MRL_2DG_5	MRL_2DG_6	MRL_2DG_7	MRL_2DG_8	MRL_2DG_9
ENSMUSG00000000001	Gnai3	guanine nucleotide binding protein (G protein), alpha inhibiting 3 [Source:MGI Symbol;Acc:MGI:95773]	14679	ENSG00000065135	98.3051	GNAI3	G protein subunit alpha i3 [Source:HGNC Symbol;Acc:HGNC:4387]	2773	ENSMUSP00000000001	ENSMUST00000000001	10771	10473	11685	12365	15293	16668	14626	11710	11361	9945	17576	13550	17608	16557	14046	13703	12877
ENSMUSG00000000003	Pbsn	probasin [Source:MGI Symbol;Acc:MGI:1860484]	54192		NA			NA	ENSMUSP00000000003,ENSMUSP00000109675	ENSMUST00000000003,ENSMUST00000114041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000028	Cdc45	cell division cycle 45 [Source:MGI Symbol;Acc:MGI:1338073]	12544	ENSG00000093009	91.6961	CDC45	cell division cycle 45 [Source:HGNC Symbol;Acc:HGNC:1739]	8318	ENSMUSP00000094753,ENSMUSP00000000028,ENSMUSP00000111248	ENSMUST00000096990,ENSMUST00000000028,ENSMUST00000231819,ENSMUST00000115585	683	420	367	347	573	529	579	698	323	411	424	482	771	513	762	944	1370
ENSMUSG00000000031	H19	H19, imprinted maternally expressed transcript [Source:MGI Symbol;Acc:MGI:95891]	14955		NA			NA		ENSMUST00000136359,ENSMUST00000132294,ENSMUST00000228514,ENSMUST00000152754,ENSMUST00000140716,ENSMUST00000149974,ENSMUST00000228259,ENSMUST00000246404,ENSMUST00000246665,ENSMUST00000247116,ENSMUST00000247195,ENSMUST00000247478,ENSMUST00000247519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000037	Scml2	Scm polycomb group protein like 2 [Source:MGI Symbol;Acc:MGI:1340042]	107815	ENSG00000102098	36.4293	SCML2	Scm polycomb group protein like 2 [Source:HGNC Symbol;Acc:HGNC:10581]	10389	ENSMUSP00000084325,ENSMUSP00000158809,ENSMUSP00000019101,ENSMUSP00000107964,ENSMUSP00000074356,ENSMUSP00000098672,ENSMUSP00000076593,ENSMUSP00000158772	ENSMUST00000087090,ENSMUST00000238361,ENSMUST00000124775,ENSMUST00000019101,ENSMUST00000112345,ENSMUST00000074802,ENSMUST00000101113,ENSMUST00000077375,ENSMUST00000238603	5	0	1	4	0	6	2	33	1	2	1	11	2	16	12	56	29
ENSMUSG00000000049	Apoh	apolipoprotein H [Source:MGI Symbol;Acc:MGI:88058]	11818	ENSG00000091583	76.5217	APOH	apolipoprotein H [Source:HGNC Symbol;Acc:HGNC:616]	350	ENSMUSP00000123486,ENSMUSP00000114214,ENSMUSP00000000049,ENSMUSP00000115516	ENSMUST00000146050,ENSMUST00000152958,ENSMUST00000000049,ENSMUST00000133383	1	1	0	0	0	3	0	9	1	7	0	0	0	4	2	6	10
ENSMUSG00000000056	Narf	nuclear prelamin A recognition factor [Source:MGI Symbol;Acc:MGI:1914858]	67608	ENSG00000141562	84.4156	NARF	nuclear prelamin A recognition factor [Source:HGNC Symbol;Acc:HGNC:29916]	26502	ENSMUSP00000099304	ENSMUST00000151088,ENSMUST00000154047,ENSMUST00000103015	7599	6653	4837	5191	6598	7127	6113	5018	5149	6849	6887	5348	7277	7744	6470	6929	6519
ENSMUSG00000000058	Cav2	caveolin 2 [Source:MGI Symbol;Acc:MGI:107571]	12390	ENSG00000105971	90.1235	CAV2	caveolin 2 [Source:HGNC Symbol;Acc:HGNC:1528]	858	ENSMUSP00000111119,ENSMUSP00000000058,ENSMUSP00000111122	ENSMUST00000115459,ENSMUST00000000058,ENSMUST00000115462	31	1	3	11	46	34	13	6	2	13	20	0	6	52	38	8	32
ENSMUSG00000000078	Klf6	Kruppel-like factor 6 [Source:MGI Symbol;Acc:MGI:1346318]	23849	ENSG00000067082	84.5912	KLF6	Kruppel like factor 6 [Source:HGNC Symbol;Acc:HGNC:2235]	1316	ENSMUSP00000152088,ENSMUSP00000000080	ENSMUST00000221734,ENSMUST00000222857,ENSMUST00000000080	7622	7765	14488	10282	12981	14295	11006	10751	8088	8780	15695	10369	12732	11998	11091	8846	9056
ENSMUSG00000000085	Scmh1	sex comb on midleg homolog 1 [Source:MGI Symbol;Acc:MGI:1352762]	29871	ENSG00000010803	84.136	SCMH1	Scm polycomb group protein homolog 1 [Source:HGNC Symbol;Acc:HGNC:19003]	22955	ENSMUSP00000101908,ENSMUSP00000000087,ENSMUSP00000101905,ENSMUSP00000120950,ENSMUSP00000069813,ENSMUSP00000115343	ENSMUST00000106301,ENSMUST00000000087,ENSMUST00000133290,ENSMUST00000144555,ENSMUST00000106298,ENSMUST00000136801,ENSMUST00000134375,ENSMUST00000151345,ENSMUST00000153099,ENSMUST00000122860,ENSMUST00000064991,ENSMUST00000132116,ENSMUST00000133169,ENSMUST00000144862	1886	2400	1598	1656	2285	2086	1927	1506	2025	2419	2190	1790	1953	2375	2011	2308	2040
