genes,name,ExonLength,chr,chr_start,chr_end,WT_FoB_1_log2(cpm),WT_FoB_2_log2(cpm),DKO_FoB_1_log2(cpm),DKO_FoB_2_log2(cpm),DKO_FoB_3_log2(cpm),DKO_ABC_1_log2(cpm),DKO_ABC_2_log2(cpm),DKO_ABC_3_log2(cpm),logFC_1*WT_FoB -1*DKO_FoB,logCPM_1*WT_FoB -1*DKO_FoB,LR_1*WT_FoB -1*DKO_FoB,PValue_1*WT_FoB -1*DKO_FoB,FDR_1*WT_FoB -1*DKO_FoB,logFC_1*WT_FoB -1*DKO_ABC,logCPM_1*WT_FoB -1*DKO_ABC,LR_1*WT_FoB -1*DKO_ABC,PValue_1*WT_FoB -1*DKO_ABC,FDR_1*WT_FoB -1*DKO_ABC,logFC_1*DKO_FoB -1*DKO_ABC,logCPM_1*DKO_FoB -1*DKO_ABC,LR_1*DKO_FoB -1*DKO_ABC,PValue_1*DKO_FoB -1*DKO_ABC,FDR_1*DKO_FoB -1*DKO_ABC,ENTREZID
Psmd10,proteasome (prosome macropain) 26S subunit, non-ATPase,10,1469,X,140948428,140956728,5.68,5.785,4.681,5.569,5.202,4.729,5.644,5.197,0.537,5.366,2.4,0.121357196,0.238310382,0.495,5.366,2.035,0.153685262,0.248094068,-0.042,5.366,0.018,
Cd46,CD46 antigen, complement regulatory protein,3198,1,195041284,195092248,0.173,-0.307,1.114,-2.804,-1.005,0.916,-1.895,-0.672,0.068,-0.062,0.003,0.953327452,0.972165257,0.079,-0.062,0.005,0.945357194,0.962886397,0.012,-0.062,0,0.991080278,0.997986761
Lamb3,laminin, beta 3,4365,1,193301956,193343878,3.481,2.828,2.891,2.43,1.516,2.373,2.041,1.638,0.817,2.541,2.645,0.103898712,0.212691537,1.155,2.541,5.263,0.021785518,0.052841079,0.338,2.541,0.539,0.462736295,0.769269529
Slc30a1,solute carrier family 30 (zinc transporter), member 1,5244,1,191906766,191913247,3.614,3.954,4.021,4.629,3.668,4.178,4.239,4.475,-0.369,4.141,1.081,0.298487663,0.450769257,-0.512,4.141,2.065,0.150693057,0.243945069,-0.143,4.141,0.208,0.647953109,0.86985692
Ppp2r5a,protein phosphatase 2, regulatory subunit B', alpha,3082,1,191351980,191397041,7.806,7.843,7.55,7.93,7.536,7.329,7.64,7.366,0.141,7.64,0.372,0.541713838,0.674173762,0.373,7.64,2.629,0.10493525,0.183907139,0.232,7.64,1.253,0.263002012
Nsl1,NSL1, MIS12 kinetochore complex component,3387,1,191063011,191084558,2.25,2.421,3.425,2.216,4.365,3.366,3.085,2.865,-1.256,3.184,4.438,0.035157192,0.09764948,-0.786,3.184,1.794,0.180475425,0.281171956,0.469,3.184,0.848,0.357055782,0.700721985
Ptpn14,protein tyrosine phosphatase, non-receptor type 14,11573,1,189728267,189876695,3.39,3.316,4.681,4.557,4.567,5.257,4.725,5.491,-1.252,4.669,16.565,4.70122891616413e-05,0.000813317,-1.842,4.669,34.384,4.52320302113515e-09,1.19652693190669e-07,-0.59,4.669,5.142,0.023347152,0.141379299
Iars2,isoleucine-tRNA synthetase 2, mitochondrial,8885,1,185284725,185329396,6.375,6.23,6.36,6.066,6.373,6.301,6.06,6.304,0.032,6.264,0.021,0.885792798,0.927178989,0.079,6.264,0.13,0.718889523,0.797338855,0.047,6.264,0.058,0.80913648,0.932006547
Taf1a,TATA-box binding protein associated factor, RNA polymerase I, A,1472,1,183388980,183409353,2.903,2.886,3.206,2.244,2.991,2.716,2.041,2.485,0.028,2.739,0.004,0.947753457,0.968274853,0.461,2.739,1.185,0.27636851,0.391618041,0.433,2.739,1.288,0.25637979
Aida,axin interactor, dorsalization associated,3293,1,183297059,183324501,6.938,7.06,6.708,7.064,6.84,6.539,6.96,7.157,0.122,6.921,0.239,0.625173857,0.743672545,0.092,6.921,0.136,0.712428465,0.79227254,-0.03,6.921,0.018,0.893765017,0.963052486
