genes,name,ExonLength,chr,chr_start,chr_end,WT_1_log2(cpm),WT_2_log2(cpm),DKO_1_log2(cpm),DKO_2_log2(cpm),logFC_1*WT -1*DKO,logCPM_1*WT -1*DKO,LR_1*WT -1*DKO,PValue_1*WT -1*DKO,FDR_1*WT -1*DKO
Rps13,ribosomal protein S13,582,7,116331506,116334190,7.132,6.977,0.842,0.534,6.389,6.075,860.505,3.78304710030058e-189,3.66350281193108e-185
Clec4n,"C-type lectin domain family 4, member n",1420,6,123229842,123247021,7.908,8.022,3.114,2.938,4.943,7.013,707.043,8.79363200124773e-156,4.25787661500415e-152
Cd163,CD163 antigen,4492,6,124304650,124330527,6.398,6.713,0.389,0.245,6.281,5.584,628.333,1.1520354118812e-138,3.7187703095525e-135
H2-T10,,3419,17,36115875,36121465,2.82,2.788,6.866,6.901,-4.086,5.967,566.231,3.70900997203023e-125,8.97951314228518e-122
Ptgis,prostaglandin I2 (prostacyclin) synthase,2567,2,167191804,167240604,5.044,5.051,-3.283,-1.6,7.449,4.06,533.422,5.08836671370162e-118,9.8551486510973e-115
Gdpd3,glycerophosphodiester phosphodiesterase domain containing 3,1066,7,126766413,126775643,-2.867,-4.889,6.389,6.918,-10.863,5.68,528.888,4.92937952198576e-117,7.95601854848502e-114
Itgad,"integrin, alpha D",4510,7,128154375,128223816,8.834,8.812,5.082,4.986,3.79,7.924,511.615,2.82368277201395e-113,3.90636342345473e-110
Igf1,insulin-like growth factor 1,9904,10,87858264,87937042,6.626,6.809,1.975,2.322,4.569,5.781,480.249,1.88623861937154e-106,2.28329184874925e-103
Nr1h3,"nuclear receptor subfamily 1, group H, member 3",2515,2,91184060,91202834,6.329,6.317,2.361,2.492,3.902,5.418,461.112,2.75368476910375e-102,2.96296481155564e-99
Hmga1-rs1,"high mobility group AT-hook I, related sequence 1",1626,11,120762793,120764419,-3.874,-2.586,4.675,4.488,-8.078,3.596,449.723,8.28539526393443e-100,8.0235767735941e-97
Adamdec1,"ADAM-like, decysin 1",2425,14,68563387,68582086,6.951,7.111,3.356,3.492,3.611,6.148,443.61,1.77292965236458e-98,1.5608227957726e-95
Tgm1,"transglutaminase 1, K polypeptide",3006,14,55700008,55713492,5.627,5.604,1.39,1.517,4.175,4.696,428.138,4.13208046049423e-95,3.33458893161885e-92
Hebp1,heme binding protein 1,1061,6,135137518,135168215,6.538,6.4,2.096,2.475,4.179,5.549,410.89,2.34662359910922e-91,1.74805407182875e-88
Slc7a8,"solute carrier family 7 (cationic amino acid transporter, y+ system), member 8",4033,14,54722215,54781886,5.522,5.499,1.445,1.414,4.095,4.595,406.855,1.7728882674465e-90,1.22633214156799e-87
Rims3,regulating synaptic membrane exocytosis 3,7972,4,120854815,120896579,5.926,5.862,1.987,2.162,3.826,4.994,406.322,2.31634505958843e-90,1.41566819497483e-87
Tspan4,tetraspanin 4,2178,7,141475239,141493427,5.921,5.87,1.517,1.907,4.181,4.975,406.302,2.33898090867382e-90,1.41566819497483e-87
Slc16a10,"solute carrier family 16 (monocarboxylic acid transporters), member 10",5394,10,40033534,40142254,6.019,5.944,2.271,2.369,3.669,5.093,398.448,1.19888190515756e-88,6.82939551149752e-86
Csf1r,colony stimulating factor 1 receptor,4885,18,61105571,61132149,10.189,10.377,5.627,6.04,4.438,9.351,393.441,1.4750999289363e-87,7.93603761767728e-85
Slco2b1,"solute carrier organic anion transporter family, member 2b1",5612,7,99657803,99711340,6.748,6.692,1.828,2.423,4.572,5.781,380.868,8.05504976062908e-85,4.10553167799642e-82
Igkv3-2,,359,6,70698467,70699067,7.648,7.593,10.791,10.867,-3.209,9.978,377.343,4.7154749105842e-84,2.28323295170487e-81
